country,iso_code,year,population,gdp,co2,co2_per_capita,co2_per_gdp,cement_co2,coal_co2,gas_co2,oil_co2,co2_growth_prct,co2_per_unit_energy,eps_score,pressure_level
Afghanistan,AFG,2023,41454762.0,,11.02,0.266,,0.016,3.843,0.15,7.011,4.38,,,
Albania,ALB,2023,2811660.0,,5.144,1.83,,1.312,0.789,0.115,2.928,-0.562,,,
Algeria,DZA,2023,46164221.0,,178.133,3.859,,9.555,0.689,92.546,59.966,-3.481,0.253,,
Andorra,AND,2023,80868.0,,0.424,5.242,,0.0,0.0,0.008,0.416,1.028,,,
Angola,AGO,2023,36749907.0,,20.781,0.565,,1.201,,2.006,14.12,2.619,,,
Anguilla,AIA,2023,14435.0,,0.145,10.012,,0.0,,,0.145,4.321,,,
Antarctica,ATA,2023,,,0.0,,,0.0,,,,,,,
Antigua and Barbuda,ATG,2023,93333.0,,0.645,6.909,,0.0,,,0.645,4.321,,,
Argentina,ARG,2023,45538402.0,,195.806,4.3,,4.853,4.106,91.051,93.742,-4.055,0.192,,
Armenia,ARM,2023,2943395.0,,7.608,2.585,,0.492,0.041,5.51,1.566,6.194,,,
Aruba,ABW,2023,107946.0,,0.867,8.033,,0.0,,,0.867,4.321,,,
Australia,AUS,2023,26451125.0,,382.972,14.478,,2.818,142.666,74.636,141.596,-0.362,0.229,2.8,Medium
Austria,AUT,2023,9130434.0,,58.578,6.416,,1.832,10.892,13.832,30.733,-4.734,0.152,,
Azerbaijan,AZE,2023,10318210.0,,43.937,4.258,,1.081,0.0,29.753,12.448,8.778,0.193,,
Bahamas,BHS,2023,399452.0,,2.505,6.272,,0.0,0.004,,2.501,4.317,,,
Bahrain,BHR,2023,1569674.0,,36.527,23.27,,0.213,,33.001,3.134,2.454,,,
Bangladesh,BGD,2023,171466986.0,,113.427,0.662,,1.514,23.905,56.181,31.796,-0.383,0.223,,
Barbados,BRB,2023,282348.0,,1.192,4.221,,0.106,,0.03,1.045,4.236,,,
Belarus,BLR,2023,9115680.0,,56.491,6.197,,2.239,4.394,32.359,16.542,-4.873,0.191,,
Belgium,BEL,2023,11712894.0,,83.368,7.118,,2.456,10.159,29.335,39.715,-6.33,0.13,,
Belize,BLZ,2023,411115.0,,0.668,1.625,,0.0,,0.0,0.663,5.607,,,
Benin,BEN,2023,14111035.0,,5.592,0.396,,0.363,0.289,0.327,4.614,-3.454,,,
Bermuda,BMU,2023,64721.0,,0.523,8.074,,0.0,0.0,,0.523,4.322,,,
Bhutan,BTN,2023,786387.0,,1.713,2.178,,0.438,0.846,,0.429,4.754,,,
Bolivia,BOL,2023,12244161.0,,23.359,1.908,,1.568,0.021,8.958,12.736,4.384,,,
Bonaire Sint Eustatius and Saba,BES,2023,29919.0,,0.115,3.84,,0.0,,,0.115,4.321,,,
Bosnia and Herzegovina,BIH,2023,3185071.0,,20.179,6.336,,0.42,14.309,0.53,4.921,-3.741,,,
Botswana,BWA,2023,2480242.0,,6.714,2.707,,0.0,3.783,0.0,2.93,1.79,,,
Brazil,BRA,2023,211140731.0,,486.47,2.304,,24.963,54.848,56.329,326.432,0.543,0.126,1.6,Low
British Virgin Islands,VGB,2023,39008.0,,0.185,4.75,,0.0,,,0.185,4.322,,,
Brunei,BRN,2023,458959.0,,11.77,25.644,,0.0,3.109,5.066,3.381,3.657,,,
Bulgaria,BGR,2023,6795804.0,,36.094,5.311,,1.069,14.885,4.805,13.459,-23.149,0.181,,
